source,target
I am happy,je suis heureux
I am sad,je suis triste
You are tired,tu es fatigue
He is tall,il est grand
She is kind,elle est gentille
We are ready,nous sommes prets
They are late,ils sont en retard
I love cats,j aime les chats
I love dogs,j aime les chiens
I am hungry,j ai faim
I am thirsty,j ai soif
The cat is big,le chat est grand
The dog is small,le chien est petit
The book is good,le livre est bon
The door is open,la porte est ouverte
The window is closed,la fenetre est fermee
I see the sun,je vois le soleil
I hear the music,j entends la musique
I read a book,je lis un livre
I write a letter,j ecris une lettre
He runs fast,il court vite
She walks slowly,elle marche lentement
We eat bread,nous mangeons du pain
They drink water,ils boivent de l eau
I like to read,j aime lire
You like to sing,tu aimes chanter
He likes to swim,il aime nager
She likes to dance,elle aime danser
We like to travel,nous aimons voyager
They like to cook,ils aiment cuisiner
The house is red,la maison est rouge
The car is blue,la voiture est bleue
The sky is clear,le ciel est clair
The river is long,la riviere est longue
The tree is tall,l arbre est grand
I am a student,je suis etudiant
You are a teacher,tu es professeur
He is a doctor,il est medecin
She is a nurse,elle est infirmiere
We are friends,nous sommes amis
I go to school,je vais a l ecole
You go to work,tu vas au travail
He goes to the park,il va au parc
She goes to the market,elle va au marche
We go home,nous rentrons a la maison
I have a cat,j ai un chat
You have a dog,tu as un chien
He has a car,il a une voiture
She has a book,elle a un livre
We have a house,nous avons une maison
I see a bird,je vois un oiseau
You see the moon,tu vois la lune
He sees the stars,il voit les etoiles
She sees the flowers,elle voit les fleurs
We see the mountain,nous voyons la montagne
The food is good,la nourriture est bonne
The water is cold,l eau est froide
The coffee is hot,le cafe est chaud
The bread is fresh,le pain est frais
The fruit is sweet,le fruit est sucre
I am learning French,j apprends le francais
You are learning English,tu apprends l anglais
He is speaking fast,il parle vite
She is listening well,elle ecoute bien
We are working hard,nous travaillons dur
I want to eat,je veux manger
You want to sleep,tu veux dormir
He wants to play,il veut jouer
She wants to rest,elle veut se reposer
We want to go,nous voulons partir
The cat sleeps here,le chat dort ici
The dog plays outside,le chien joue dehors
The bird sings well,l oiseau chante bien
The fish swims fast,le poisson nage vite
The flower grows here,la fleur pousse ici
I am at home,je suis a la maison
You are at school,tu es a l ecole
He is at work,il est au travail
She is in the garden,elle est dans le jardin
We are in the city,nous sommes en ville
I like this city,j aime cette ville
You like this book,tu aimes ce livre
He likes this song,il aime cette chanson
She likes this place,elle aime cet endroit
We like this park,nous aimons ce parc
I eat every day,je mange tous les jours
You sleep well,tu dors bien
He works a lot,il travaille beaucoup
She reads often,elle lit souvent
We travel sometimes,nous voyageons parfois
I am not tired,je ne suis pas fatigue
You are not late,tu n es pas en retard
He is not sad,il n est pas triste
She is not angry,elle n est pas en colere
We are not lost,nous ne sommes pas perdus
I speak slowly,je parle lentement
You listen carefully,tu ecoutes attentivement
He answers quickly,il repond rapidement
She smiles always,elle sourit toujours
We learn together,nous apprenons ensemble
I am in the park,je suis dans le parc
I am happy today,je suis heureux aujourd'hui
I am a doctor,je suis medecin
I am cold,j'ai froid
I am learning French,j'apprends le francais
I am listening to music,j'ecoute de la musique
I am at the market,je suis au marche
I am working now,je travaille maintenant
I am thirsty,j'ai soif
I am ready to go,je suis pret a partir
You are kind,tu es gentille
You are a teacher,tu es professeur
You are at the office,tu es au bureau
You are listening carefully,tu ecoutes attentivement
You are reading a book,tu lis un livre
You are in the house,tu es dans la maison
You are fast,tu es rapide
You are learning English,tu apprends l'anglais
You are my friend,tu es mon ami
You are always happy,tu es toujours heureux
He is a student,il est etudiant
She is a nurse,elle est infirmiere
He is in the garden,il est dans le jardin
She is in the car,elle est dans la voiture
He is tired today,il est fatigue aujourd'hui
She is hungry,elle a faim
He is at the school,il est a l'ecole
She is always late,elle est toujours en retard
He is singing a song,il chante une chanson
She is working hard,elle travaille dur
We are friends,nous sommes amis
We are in the city,nous sommes en ville
We are ready,nous sommes prets
We are happy here,nous sommes heureux ici
We are learning together,nous apprenons ensemble
We are at the park,nous sommes au parc
We are drinking coffee,nous buvons du cafe
We are eating fruit,nous mangeons des fruits
We are working today,nous travaillons aujourd'hui
We are listening to the teacher,nous ecoutons le professeur
I eat an apple,je mange une pomme
You drink water,tu bois de l'eau
He sees the bird,il voit l'oiseau
She hears the music,elle entend la musique
We go to the park,nous allons au parc
They eat bread,ils mangent du pain
The cat eats fish,le chat mange du poisson
The dog drinks water,le chien boit de l'eau
I see the stars,je vois les etoiles
We hear the river,nous entendons la riviere
I am not hungry,je n'ai pas faim
You are not late,tu n'es pas en retard
He is not happy,il n'est pas heureux
She is not here,elle n'est pas ici
We are not tired,nous ne sommes pas fatigues
They are not ready,ils ne sont pas prets
The door is not open,la porte n'est pas ouverte
The window is not closed,la fenetre n'est pas fermee
I do not like coffee,je n'aime pas le cafe
He does not work here,il ne travaille pas ici
I like the moon,j'aime la lune
You like the sun,tu aimes le soleil
He loves the garden,il aime le jardin
She loves the flowers,elle aime les fleurs
We like the music,nous aimons la musique
They love the city,ils aiment la ville
The cat likes the house,le chat aime la maison
The dog loves the park,le chien aime le parc
I like to travel,j'aime voyager
We like to sing,nous aimons chanter
Is the book good?,le livre est-il bon?
Are you ready?,es-tu pret?
Where is the car?,ou est la voiture?
The car is blue,la voiture est bleue
The sky is red,le ciel est rouge
The water is cold,l'eau est froide
The coffee is hot,le cafe est chaud
The flower is fresh,la fleur est fraiche
The bread is good,le pain est bon
The city is big,la ville est grande
He runs quickly,il court rapidement
She walks slowly,elle marche lentement
We work hard,nous travaillons dur
They speak fast,ils parlent vite
I listen carefully,j'ecoute attentivement
You read often,tu lis souvent
He plays sometimes,il joue parfois
She sings always,elle chante toujours
We sleep well,nous dormons bien
They dance together,ils dansent ensemble
The big mountain,la grande montagne
The small bird,le petit oiseau
The long river,la longue riviere
The green tree,l'arbre vert
The blue sky,le ciel bleu
The sweet fruit,le fruit sucre
The fresh food,la nourriture fraiche
The clear window,la fenetre claire
The closed door,la porte fermee
The open book,le livre ouvert
A cat and a dog,un chat et un chien
The house and the garden,la maison et le jardin
A book and a letter,un livre et une lettre
The moon and the stars,la lune et les etoiles
A teacher and a student,un professeur et un etudiant
The car and the road,la voiture et la route
A doctor and a nurse,un medecin et une infirmiere
The bread and the water,le pain et l'eau
A man and a woman,un homme et une femme
The sun and the sky,le soleil et le ciel
I want a book,je veux un livre
You want to sleep,tu veux dormir
He wants to eat,il veut manger
She wants to drink,elle veut boire
We want to go,nous voulons partir
They want to play,ils veulent jouer
The cat wants to sleep,le chat veut dormir
The dog wants to run,le chien veut courir
I need to work,j'ai besoin de travailler
We need to rest,nous avons besoin de nous reposer
I go to school,je vais a l'ecole
You go to work,tu vas au travail
He goes home,il va a la maison
She goes to the market,elle va au marche
We go to the city,nous allons en ville
They go outside,ils vont dehors
I work every day,je travaille tous les jours
You sleep at night,tu dors la nuit
He eats in the morning,il mange le matin
She reads in the evening,elle lit le soir
The car is very fast,la voiture est tres rapide
The house is very big,la maison est tres grande
The coffee is very cold,le cafe est tres froid
The music is very loud,la musique est tres forte
The teacher is very kind,le professeur est tres gentil
The student is very smart,l'etudiant est tres intelligent
The park is very beautiful,le parc est tres beau
The mountain is very high,la montagne est tres haute
The river is very long,la riviere est tres longue
The fruit is very sweet,le fruit est tres sucre
I see a flower,je vois une fleur
You hear a song,tu entends une chanson
He reads a letter,il lit une lettre
She writes a book,elle ecrit un livre
We find the key,nous trouvons la cle
They lose the game,ils perdent le jeu
The bird flies high,l'oiseau vole haut
The fish swims deep,le poisson nage profond
The sun shines bright,le soleil brille fort
The moon is white,la lune est blanche
Bread and butter,du pain et du beurre
Coffee and milk,du cafe et du lait
Tea and sugar,du the et du sucre
Salt and pepper,du sel et du poivre
Fish and chips,du poisson et des frites
Fruit and vegetables,des fruits et des legumes
Day and night,le jour et la nuit
Hot and cold,chaud et froid
Big and small,grand et petit
Old and new,vieux et neuf
My father is a doctor,mon pere est medecin
My mother is a teacher,ma mere est professeur
My brother is a student,mon frere est etudiant
My sister is a nurse,ma soeur est infirmiere
My friend is here,mon ami est ici
We are a family,nous sommes une famille
They are my friends,ce sont mes amis
He loves his family,il aime sa famille
She loves her house,elle aime sa maison
We love our city,nous aimons notre ville
It is early,il est tot
It is late,il est tard
It is time to go,il est temps de partir
Today is a good day,aujourd'hui est une bonne journee
Yesterday was cold,hier etait froid
Tomorrow will be hot,demain sera chaud
The morning is clear,le matin est clair
The evening is quiet,le soir est calme
The night is dark,la nuit est sombre
Every week,chaque semaine
Left and right,gauche et droite
Up and down,en haut et en bas
Near and far,proche et loin
Inside the house,a l'interieur de la maison
Outside the garden,a l'exterieur du jardin
Behind the car,derriere la voiture
In front of the door,devant la porte
Under the tree,sous l'arbre
Over the mountain,au-dessus de la montagne
Between the houses,entre les maisons
I feel happy,je me sens heureux
You feel tired,tu te sens fatigue
He feels sad,il se sent triste
She feels better,elle se sent mieux
We feel good,nous nous sentons bien
They feel sick,ils se sentent malades
The cat feels safe,le chat se sent en securite
The dog feels excited,le chien est excite
I am excited,je suis excite
We are proud,nous sommes fiers
The good house is in the city,la maison bonne est dans la ville
The clear bread is in the garden,le pain clair est dans le jardin
The happy garden is in the city,le jardin heureux est dans la ville
The hot coffee is in the park,le cafe chaud est dans le parc
The red bird is in the park,l oiseau rouge est dans le parc
The clear garden is in the park,le jardin clair est dans le parc
The hot coffee is in the house,le cafe chaud est dans la maison
The small bread is in the garden,le pain petit est dans le jardin
The red city is in the garden,la ville rouge est dans le jardin
