text,label
I love this movie,positive
This film is amazing,positive
What a wonderful day,positive
I am so happy today,positive
The food was delicious,positive
This is the best book I have read,positive
I really enjoyed the concert,positive
The team played brilliantly,positive
She is a fantastic teacher,positive
This product works perfectly,positive
I had a great time,positive
The sunset was beautiful,positive
The flowers smell lovely,positive
We had an excellent meal,positive
The service was outstanding,positive
I feel fantastic today,positive
That was a brilliant idea,positive
The hotel room was perfect,positive
The children are so adorable,positive
I am thrilled about the results,positive
Everything went smoothly,positive
The view from here is stunning,positive
I am proud of what we achieved,positive
The presentation was excellent,positive
The music made me smile,positive
I love spending time with my family,positive
The project turned out great,positive
This coffee is really good,positive
What a kind and generous person,positive
I am grateful for your help,positive
This was a terrible idea,negative
The movie was boring and too long,negative
I am really disappointed,negative
The food tasted awful,negative
The service was very rude,negative
I did not enjoy that at all,negative
This product broke after one day,negative
What a waste of time and money,negative
The weather was cold and miserable,negative
I feel tired and stressed today,negative
The hotel was dirty and noisy,negative
The traffic was unbearable,negative
I am frustrated with this situation,negative
The meeting was pointless,negative
This is the worst experience I have had,negative
The instructions were confusing,negative
I am angry about what happened,negative
The concert was a complete disaster,negative
The project failed completely,negative
I feel let down by the outcome,negative
Nothing went right today,negative
The presentation was a mess,negative
I am unhappy with the results,negative
The food arrived cold and undercooked,negative
This is a very poor quality product,negative
I regret buying this,negative
The team made too many mistakes,negative
The film had no good moments,negative
The noise kept me awake all night,negative
I am deeply disappointed in you,negative
The book is on the table,neutral
The door is open,neutral
She walked to the store,neutral
The meeting starts at three,neutral
He read the report carefully,neutral
The train arrives in the morning,neutral
The cat is sitting on the chair,neutral
We met at the corner of the street,neutral
The package was delivered yesterday,neutral
The office is on the second floor,neutral
She typed the document,neutral
He opened the window,neutral
The water in the glass is clear,neutral
The bus stopped at the station,neutral
The paper is on the desk,neutral
She turned off the light,neutral
The keys are on the counter,neutral
He wrote a note,neutral
The file was saved to the folder,neutral
The road goes north from here,neutral
The lamp is in the corner,neutral
He answered the phone,neutral
The boxes are stacked in the room,neutral
She closed the book,neutral
The car is parked outside,neutral
He put the cup on the shelf,neutral
The meeting was held on Monday,neutral
She filled out the form,neutral
The store opens at nine,neutral
He carried the bag to the door,neutral
